"School Year","Division Number","Division Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2017-2018","1","Accomack County","5,194","1","5,195"
"2017-2018","2","Albemarle County","13,927","10","13,937"
"2017-2018","101","Alexandria City","15,710","92","15,802"
"2017-2018","3","Alleghany County","2,190"," ","2,190"
"2017-2018","4","Amelia County","1,792"," ","1,792"
"2017-2018","5","Amherst County","4,048"," ","4,048"
"2017-2018","6","Appomattox County","2,270"," ","2,270"
"2017-2018","7","Arlington County","26,975"," ","26,975"
"2017-2018","8","Augusta County","10,362","1","10,363"
"2017-2018","9","Bath County","555"," ","555"
"2017-2018","10","Bedford County","9,719","3","9,722"
"2017-2018","11","Bland County","730"," ","730"
"2017-2018","12","Botetourt County","4,648"," ","4,648"
"2017-2018","102","Bristol City","2,263"," ","2,263"
"2017-2018","13","Brunswick County","1,644"," ","1,644"
"2017-2018","14","Buchanan County","2,836"," ","2,836"
"2017-2018","15","Buckingham County","2,089"," ","2,089"
"2017-2018","103","Buena Vista City","948"," ","948"
"2017-2018","16","Campbell County","7,895"," ","7,895"
"2017-2018","17","Caroline County","4,250"," ","4,250"
"2017-2018","18","Carroll County","3,807"," ","3,807"
"2017-2018","19","Charles City County","650"," ","650"
"2017-2018","20","Charlotte County","1,880","1","1,881"
"2017-2018","104","Charlottesville City","4,527","2","4,529"
"2017-2018","136","Chesapeake City","40,646","10","40,656"
"2017-2018","21","Chesterfield County","60,915","61","60,976"
"2017-2018","22","Clarke County","1,974","4","1,978"
"2017-2018","202","Colonial Beach","640"," ","640"
"2017-2018","106","Colonial Heights City","2,833"," ","2,833"
"2017-2018","107","Covington City","1,051"," ","1,051"
"2017-2018","23","Craig County","614"," ","614"
"2017-2018","24","Culpeper County","8,208","2","8,210"
"2017-2018","25","Cumberland County","1,335"," ","1,335"
"2017-2018","108","Danville City","5,828"," ","5,828"
"2017-2018","26","Dickenson County","2,128"," ","2,128"
"2017-2018","27","Dinwiddie County","4,336"," ","4,336"
"2017-2018","28","Essex County","1,403"," ","1,403"
"2017-2018","29","Fairfax County","188,556","29","188,585"
"2017-2018","109","Falls Church City","2,677","3","2,680"
